Elements, Results
8192, 131, 103, 128, 144, 127, 106, 100, 122, 125, 134, 104, 175, 133, 104, 102, 116, 158, 127, 126, 140, 124, 185, 144, 133, 106, 137, 133, 125, 149, 126, 133, 105, 109, 116, 134, 128, 116, 148, 129, 99, 129, 123
16384, 310, 240, 213, 210, 220, 218, 271, 230, 254, 237, 209, 218, 201, 231, 249, 169, 210, 218, 234, 203, 233, 259, 215, 221, 212, 343, 248, 261, 245, 273, 336, 204, 285, 205, 235, 198, 247, 203, 245, 222, 240, 308
32768, 233, 329, 229, 213, 262, 257, 249, 224, 255, 295, 239, 227, 242, 241, 241, 270, 293, 280, 292, 234, 231, 276, 250, 271, 234, 239, 268, 245, 233, 245, 248, 235, 236, 242, 229, 237, 230, 363, 251, 254, 255, 330
65536, 144, 193, 169, 176, 194, 154, 169, 165, 142, 182, 206, 142, 157, 165, 153, 170, 170, 154, 163, 235, 186, 198, 222, 140, 146, 167, 169, 155, 212, 161, 145, 166, 166, 230, 189, 156, 165, 208, 142, 160, 207, 195
131072, 161, 185, 169, 189, 167, 181, 217, 223, 171, 223, 216, 285, 187, 225, 195, 191, 314, 254, 162, 180, 220, 202, 185, 219, 227, 290, 178, 169, 173, 201, 171, 190, 183, 250, 295, 250, 175, 211, 166, 167, 188, 176
262144, 349, 332, 296, 340, 347, 302, 298, 313, 323, 340, 332, 368, 361, 310, 339, 346, 374, 289, 330, 346, 280, 326, 350, 344, 344, 338, 360, 322, 351, 398, 354, 341, 363, 286, 298, 296, 292, 323, 337, 316, 291, 308
524288, 399, 414, 506, 424, 430, 479, 402, 453, 394, 445, 413, 438, 413, 494, 417, 421, 408, 413, 494, 458, 433, 430, 452, 489, 519, 437, 555, 492, 415, 444, 476, 430, 426, 462, 446, 458, 424, 500, 403, 514, 430, 403
1048576, 674, 664, 707, 761, 701, 743, 685, 687, 730, 684, 689, 739, 685, 707, 734, 684, 813, 768, 698, 689, 718, 905, 675, 746, 702, 858, 853, 746, 760, 673, 825, 683, 679, 734, 708, 695, 805, 1333, 680, 676, 711, 732
2097152, 2099, 1150, 1217, 1233, 1222, 1185, 1295, 1156, 1327, 1166, 1175, 1181, 1180, 1224, 1309, 1258, 1306, 1191, 1186, 1165, 1176, 1202, 1307, 1332, 1159, 1189, 1294, 1159, 1338, 1319, 1301, 1185, 1183, 1291, 1305, 1175, 1299, 1272, 1403, 1176, 1307, 1174
4194304, 2143, 2126, 2336, 2334, 2069, 2103, 2238, 2123, 2627, 2214, 2611, 2257, 2255, 2288, 2113, 2075, 2653, 2332, 2313, 2536, 2274, 2139, 2148, 2132, 2127, 2114, 2133, 2404, 2092, 2319, 2137, 2112, 2101, 2157, 2354, 2397, 2135, 2332, 2286, 2099, 2122, 2122
8388608, 4026, 4303, 4057, 3990, 4435, 3966, 4195, 4148, 4015, 4375, 4035, 4004, 4384, 4104, 4019, 4055, 4619, 4537, 3986, 4125, 4620, 4033, 4005, 4005, 4094, 4263, 4185, 4246, 4167, 4550, 4214, 4281, 4154, 4056, 4003, 4280, 4190, 3981, 4248, 4164, 4123, 4091
16777216, 7895, 7884, 7821, 7803, 8159, 8082, 7711, 8023, 8356, 8663, 7872, 8315, 8020, 8123, 7722, 8067, 8311, 8099, 8184, 8022, 7779, 8244, 7722, 7749, 7799, 8148, 8027, 8272, 7930, 7914, 7810, 8268, 7735, 7976, 7756, 7931, 7778, 8083, 7789, 8040, 8119, 8232
33554432, 15495, 15950, 16305, 15636, 15260, 15416, 15419, 15541, 22253, 15540, 15471, 15406, 15734, 15298, 15980, 14912, 15484, 15386, 15564, 15154, 15500, 15062, 15388, 15465, 15505, 15580, 15719, 15897, 15128, 15550, 15148, 15356, 15659, 15430, 15671, 15834, 15419, 15629, 15923, 15597, 15783, 15369
67108864, 48817, 30721, 30160, 30089, 30664, 30797, 30189, 30285, 30536, 30844, 30461, 30593, 42410, 30449, 30555, 30006, 30217, 29989, 29861, 30459, 30455, 30301, 30413, 30509, 38891, 30558, 30920, 30896, 31176, 30515, 30234, 30559, 30011, 30129, 30329, 30103, 32793, 30575, 30542, 29708, 29777, 29783
134217728, 60064, 60089, 60208, 60077, 61191, 60677, 59796, 60778, 60607, 60151, 61848, 60023, 61195, 60788, 60351, 61744, 60775, 79271, 61134, 60426, 60504, 60440, 60283, 60621, 59981, 61407, 60732, 60085, 60132, 60226, 70225, 60672, 61118, 60247, 60321, 60274, 60153, 59925, 60143, 59993, 60329, 61984
268435456, 124398, 125978, 124978, 124482, 168941, 169670, 162669, 154024, 126820, 129500, 129308, 129289, 129970, 123142, 124064, 124907, 123211, 122761, 122522, 122883, 123153, 123288, 122800, 123706, 169832, 169956, 167749, 152500, 125613, 127015, 125902, 125515, 125961, 122756, 123209, 123184, 123211, 122878, 123075, 123459, 123922, 123275
